date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:21:43	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Sat,%2018%20Apr%202026%2020:21:42%20GMT	https://www.flowparagliders.com.au/vissta-xc/	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/vissta-xc/index.html	(from https://www.flowparagliders.com.au/)
23:21:43	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Sat,%2018%20Apr%202026%2020:21:42%20GMT	https://www.flowparagliders.com.au/vissta/	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/vissta/index.html	(from https://www.flowparagliders.com.au/)
23:21:43	5032/5032	---M--	200	added ('OK')	image/png	etag:%2263e172e5-13a8%22	https://www.flowparagliders.com.au/wp-content/uploads/2023/02/XCRacer2-banner-logo-white.png	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/wp-content/uploads/2023/02/XCRacer2-banner-logo-white.png	(from https://www.flowparagliders.com.au/)
23:21:43	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Sat,%2018%20Apr%202026%2020:21:42%20GMT	https://www.flowparagliders.com.au/product/flow-d-wing-v2/	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/product/flow-d-wing-v2/index.html	(from https://www.flowparagliders.com.au/)
23:21:43	24/24	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sat,%2018%20Apr%202026%2020:21:42%20GMT	https://www.flowparagliders.com.au/product/dwing/	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/product/dwing/index.html	(from https://www.flowparagliders.com.au/)
23:21:44	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Sat,%2018%20Apr%202026%2020:21:43%20GMT	https://www.flowparagliders.com.au/aura-2/	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/aura-2/index.html	(from https://www.flowparagliders.com.au/)
23:21:44	19927/19927	---M--	200	added ('OK')	image/png	etag:%226981506c-4dd7%22	https://www.flowparagliders.com.au/wp-content/uploads/2022/07/Spectra-2-logo-white-300x104.png	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/wp-content/uploads/2022/07/Spectra-2-logo-white-300x104.png	(from https://www.flowparagliders.com.au/)
23:21:44	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Sat,%2018%20Apr%202026%2020:21:43%20GMT	https://www.flowparagliders.com.au/d-chute/	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/d-chute/index.html	(from https://www.flowparagliders.com.au/)
23:21:44	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Sat,%2018%20Apr%202026%2020:21:43%20GMT	https://www.flowparagliders.com.au/rucksack/	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/rucksack/index.html	(from https://www.flowparagliders.com.au/)
23:21:44	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Sat,%2018%20Apr%202026%2020:21:44%20GMT	https://www.flowparagliders.com.au/quick-rucksack/	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/quick-rucksack/index.html	(from https://www.flowparagliders.com.au/)
23:21:45	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Sat,%2018%20Apr%202026%2020:21:44%20GMT	https://www.flowparagliders.com.au/concertina-bag/	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/concertina-bag/index.html	(from https://www.flowparagliders.com.au/)
23:21:45	19162/19162	---M--	200	added ('OK')	image/png	etag:%2263e171d1-4ada%22	https://www.flowparagliders.com.au/wp-content/uploads/2023/02/yoti-3-banner-logo-white-1.png	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/wp-content/uploads/2023/02/yoti-3-banner-logo-white-1.png	(from https://www.flowparagliders.com.au/)
23:21:45	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Sat,%2018%20Apr%202026%2020:21:45%20GMT	https://www.flowparagliders.com.au/compression-bag/	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/compression-bag/index.html	(from https://www.flowparagliders.com.au/)
23:21:45	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Sat,%2018%20Apr%202026%2020:21:45%20GMT	https://www.flowparagliders.com.au/lightweight-day-bag/	C:/My%20Web%20Sitesf/flow/www.flowparagliders.com.au/lightweight-day-bag/index.html	(from https://www.flowparagliders.com.au/)
